node1,node2,label,cn,sc,aa,ra,pa,tn
276510,7717,1,0.0,0.0,0.0,0.0,64.0,16.0
336994,7717,1,4.0,0.0,1.2011816620197826,0.1592867916397328,4464.0,562.0
25161,7717,1,0.0,0.0,0.0,0.0,784.0,106.0
9343,237007,1,0.0,0.0,0.0,0.0,175.0,32.0
58794,237007,1,0.0,0.0,0.0,0.0,21.0,10.0
224514,237007,1,0.0,0.0,0.0,0.0,14.0,9.0
3032,237007,1,1.0,0.0,0.45511961331341866,0.1111111111111111,98.0,20.0
328,237007,1,0.0,0.0,0.0,0.0,1617.0,238.0
24079,237007,1,1.0,0.0,0.45511961331341866,0.1111111111111111,182.0,32.0
294293,237007,1,2.0,0.0,0.6858508581200861,0.10989010989010989,63.0,14.0
75421,23137,1,0.0,0.0,0.0,0.0,1130.0,123.0
237335,23137,1,0.0,0.0,0.0,0.0,10.0,11.0
25684,23137,1,0.0,0.0,0.0,0.0,280.0,38.0
222498,23137,1,0.0,0.0,0.0,0.0,450.0,55.0
287050,23137,1,0.0,0.0,0.0,0.0,10.0,11.0
348688,23137,1,0.0,0.0,0.0,0.0,20.0,12.0
281443,23137,1,0.0,0.0,0.0,0.0,10.0,11.0
2719,23137,1,0.0,0.0,0.0,0.0,20.0,12.0
26732,23137,1,0.0,0.0,0.0,0.0,30.0,13.0
31838,23137,1,0.0,0.0,0.0,0.0,100.0,20.0
6525,308665,1,0.0,0.0,0.0,0.0,1672.0,82.0
254903,308665,1,1.0,0.0,0.18701699830334648,0.004761904761904762,704.0,59.0
5899,308665,1,0.0,0.0,0.0,0.0,8712.0,242.0
8945,308665,1,0.0,0.0,0.0,0.0,880.0,64.0
63897,308665,1,0.0,0.0,0.0,0.0,352.0,52.0
308184,308665,1,0.0,0.0,0.0,0.0,2068.0,91.0
308331,308665,1,0.0,0.0,0.0,0.0,4576.0,148.0
7845,308665,1,0.0,0.0,0.0,0.0,3036.0,113.0
23098,308665,1,0.0,0.0,0.0,0.0,572.0,57.0
19966,308665,1,0.0,0.0,0.0,0.0,44.0,45.0
46531,308665,1,0.0,0.0,0.0,0.0,308.0,51.0
110501,308665,1,0.0,0.0,0.0,0.0,528.0,56.0
23975,308665,1,0.0,0.0,0.0,0.0,5720.0,174.0
11029,308665,1,0.0,0.0,0.0,0.0,3476.0,123.0
100244,308665,1,0.0,0.0,0.0,0.0,528.0,56.0
9256,308665,1,0.0,0.0,0.0,0.0,1584.0,80.0
5829,308665,1,0.0,0.0,0.0,0.0,1232.0,72.0
85232,308665,1,0.0,0.0,0.0,0.0,176.0,48.0
38133,308665,1,2.0,0.0,0.7066500164834344,0.11805555555555555,9240.0,252.0
10359,308665,1,0.0,0.0,0.0,0.0,9328.0,256.0
1971,308665,1,0.0,0.0,0.0,0.0,352.0,52.0
1948,308665,1,0.0,0.0,0.0,0.0,3564.0,125.0
428,308665,1,1.0,0.0,0.18701699830334648,0.004761904761904762,792.0,61.0
67151,308665,1,0.0,0.0,0.0,0.0,440.0,54.0
